trial_id,target_mode,target_value,P_surf_bar,T_surf_K,M_total_Mj,R_total_Rj,M_Z_total_Me,M_core_input_Me,Sigma_dilute,Z_base,Iron_Fraction,P_center_bar,T_deep,T_top,Delta_T,S_deep,S_top,Delta_S,dt_ds_total,DDC_Match_Ratio,Grad_Fuzzy,Grad_DDC,status
M0.3_T500.0_592,mass,5.694e+26,1.0,500.0,0.30000037085809894,0.42577898920504564,89.67013718491155,47.36842105263158,0.253,0.02,0.33,313089733.4305753,41111.016329854756,499.95736772970304,40611.058962125055,2415.7795751425683,61173.69258603222,-58757.91301088966,-205942214013.0917,0.6679362545380686,-0.0023158213381705888,-0.003467129269352454,success
M0.3_T200.0_14,mass,5.694e+26,1.0,200.0,,,,0.0,0.29500000000000004,0.02,0.33,,,,,,,,,,,,solver_returned_none
M1.0_T1000.0_2348,mass,1.898e+27,1.0,1000.0,1.0000003473769006,0.8635865848802132,196.20715776209775,89.47368421052633,0.08478947368421053,0.02,0.33,800338755.3778569,117509.12685599567,1000.307242376724,116508.81961361894,4683.584498125668,69425.39456699316,-64741.81006886749,-33560902296.64562,0.11216952130892263,-0.0026442947913599747,-0.023574093572864625,success
M0.3_T500.0_422,mass,5.694e+26,1.0,500.0,0.2999995663467249,1.0713275517602898,13.943411279629098,5.2631578947368425,0.043000000000000003,0.02,0.33,30727752.32039412,27474.27697681207,500.5447477013865,26973.732229110683,2860.063471110828,61173.69258603222,-58313.629114921394,-28582851838.549442,0.09472462020938473,-0.00036171160518970837,-0.0038185595718426774,success
M0.3_T500.0_487,mass,5.694e+26,1.0,500.0,0.2998577403065059,0.6176182643785425,72.71817641764997,21.05263157894737,0.14800000000000002,0.02,0.33,175233223.6395855,44533.659934833086,500.64729903806835,44033.012635795014,2730.708549185978,61173.69258603222,-58442.98403684625,-139285511059.4432,0.5556879628834951,-0.0012624352951383015,-0.0022718420758791606,success
M5.0_T200.0_2599,mass,9.49e+27,1.0,200.0,4.999999945016395,0.8325015174513589,541.1964525640028,47.36842105263158,0.05,0.02,0.33,6902429906.952383,109202.72329674792,201.01504763192395,109001.708249116,1414.954029022813,50585.58787573522,-49170.63384671241,-129314263783787.77,1.0186159927764944,-0.0022582119711757847,-0.00221694140597622,success
M0.3_T1000.0_862,mass,5.694e+26,1.0,1000.0,0.29998319831978837,1.4117370730930334,21.971369060228234,15.789473684210527,0.043000000000000003,0.02,0.33,62503628.34551402,41780.20947361737,1001.1707096995715,40779.03876391779,4466.640189203171,69425.39456699316,-64958.754377789985,-1236586294.1667063,0.004954205082376024,-0.0004292745735071374,-0.08664852713389459,success
M5.0_T500.0_2973,mass,9.49e+27,1.0,500.0,4.999875726321668,0.9995089682618333,324.90897565703943,42.10526315789474,0.03452631578947368,0.02,0.33,3136085480.565755,177229.65677449494,500.7918112061479,176728.8649632888,3685.3764190854604,61173.69258603222,-57488.31616694676,-3525166161041.016,0.5566783764277927,-0.003078464532748655,-0.0055300594797720965,success
M5.0_T200.0_2490,mass,9.49e+27,1.0,200.0,4.999999699923803,0.9441819880198163,221.37104290862732,21.05263157894737,0.026789473684210526,0.02,0.33,2957443617.4872723,83334.97798976226,200.30898758041545,83134.66900218185,1349.7156114621869,50585.58787573522,-49235.87226427303,-76688525283467.28,0.9518456552430671,-0.0013611962942723837,-0.0014300598913011618,success
M0.3_T500.0_582,mass,5.694e+26,1.0,500.0,0.30003085851078326,0.7188593093435672,56.59350168722485,47.36842105263158,0.043000000000000003,0.02,0.33,251601006.73344293,35826.74803023406,500.65382577567533,35326.094204458386,2807.7945688981767,61173.69258603222,-58365.898017134044,-52028715536.196526,0.33405055011406076,-0.0010612695954289695,-0.003176973051134331,success
M0.3_T200.0_285,mass,5.694e+26,1.0,200.0,0.29999895802345017,0.3837739342800624,88.41934505528916,73.6842105263158,0.10600000000000001,0.02,0.33,399483373.1560597,16687.40079180933,200.10684002340815,16487.293951785923,380.99597656883833,50585.58787573522,-50204.59189916638,-2088929965265.2607,1.0071838579683468,-0.0013271270835215746,-0.0013176611926630807,unphysical_radius
